ons_id,name,turnout,registered_voters,turnout_change,total_votes,win_margin,1st_place_party,1st_place_candidate,1st_place_votes,2nd_place_party,2nd_place_candidate,2nd_place_votes,3rd_place_party,3rd_place_candidate,3rd_place_votes,4th_place_party,4th_place_candidate,4th_place_votes,5th_place_party,5th_place_candidate,5th_place_votes,6th_place_party,6th_place_candidate,6th_place_votes,7th_place_party,7th_place_candidate,7th_place_votes,8th_place_party,8th_place_candidate,8th_place_votes,9th_place_party,9th_place_candidate,9th_place_votes,10th_place_party,10th_place_candidate,10th_place_votes,11th_place_party,11th_place_candidate,11th_place_votes,12th_place_party,12th_place_candidate,12th_place_votes,13th_place_party,13th_place_candidate,13th_place_votes
W07000081,Aberafan Maesteg,49.0,72580,-14.3,34038,10354,Labour,Stephen Kinnock,17838,Reform UK,Mark Griffiths,7484,Plaid Cymru,Colin Deere,4719,Conservative,Abigail Mainon,2903,Green,Nigel Hill,1094,Liberal Democrat,Justin Griffiths,916.0,Independent,Captain Beany,618.0,Heritage Party,Rhiannon Morrissey,183.0,,,,,,,,,,,,,,,
S14000060,Aberdeen North,55.0,75925,-9.8,39551,1760,Scottish National Party,Kirsty Blackman,14533,Labour,Lynn Thomson,12773,Conservative,Gillian Tebberen,5881,Reform UK,Kenneth Leggat,3781,Liberal Democrat,Desmond Bouse,2583,Green,Esme Houston,1275.0,Alba,Charlie Abel,703.0,Scottish Family Party,Dawn Smith,352.0,Trade Unionist and Socialist Coalition,Lucas Grant,214.0,,,,,,,,,,,,
S14000061,Aberdeen South,60.0,77328,-5.6,44088,3758,Scottish National Party,Stephen Flynn,15213,Labour,M. Tauqeer Malik,11455,Conservative,John Wheeler,11300,Reform UK,Michael Pearce,3199,Liberal Democrat,Jeff Goodhall,2921,Green,Guy Ingerson,1609.0,Scottish Family Party,Graeme Craib,423.0,Independent,Sophie Molly,225.0,,,,,,,,,,,,,,,
S14000062,Aberdeenshire North and Moray East,55.0,70058,-9.7,38188,942,Scottish National Party,Seamus Logan,13455,Conservative,Douglas Ross,12513,Reform UK,Jo Hart,5562,Labour,Andy Brown,3876,Liberal Democrat,Ian Bailey,2782,,,,,,,,,,,,,,,,,,,,,,,,
S14000063,Airdrie and Shotts,52.0,70199,-13.6,35587,7547,Labour,Kenneth Stevenson,18871,Scottish National Party,Anum Qaisar,11324,Reform UK,David Hall,2971,Conservative,Alexandra Herdman,1696,Liberal Democrat,Lewis Younie,725,Alba,Josh Robertson,623.0,British Unionist Party,John Jo Leckie,456.0,,,,,,,,,,,,,,,,,,
E14001063,Aldershot,62.0,78569,-5.7,48262,5683,Labour,Alex Baker,19764,Conservative,Leo Docherty,14081,Reform UK,Trevor Lloyd-Jones,8210,Liberal Democrat,Paul Harris,4052,Green,Ed Neville,2155,Hampshire Independents,Steve James-Bailey,282.0,,,,,,,,,,,,,,,,,,,,,
E14001064,Aldridge-Brownhills,58.0,70871,-7.0,40912,4294,Conservative,Wendy Morton,15901,Labour,Luke Davies,11607,Reform UK,Graham Eardley,9903,Liberal Democrat,Ian Garrett,1755,Green,Clare Nash,1746,,,,,,,,,,,,,,,,,,,,,,,,
S14000064,Alloa and Grangemouth,58.0,70680,-4.9,38308,6122,Labour,Brian Leishman,18039,Scottish National Party,John Nicolson,11917,Reform UK,Richard Fairley,3804,Conservative,Rachel Nunn,3127,Green,Nariese Whyte,1421,Liberal Democrat,Adrian May,1151.0,Independent,Eva Comrie,881.0,Alba,Kenny MacAskill,638.0,Workers Party of Britain,Tom Flanagan,223.0,,,,,,,,,,,,
E14001065,Altrincham and Sale West,70.0,74026,-4.6,50809,4174,Labour,Connor Rand,20798,Conservative,Oliver Carroll,16624,Reform UK,Paul Swansborough,4961,Liberal Democrat,Jane Brophy,4727,Green,Geraldine Coggins,3699,Workers Party of Britain,Faisal Kabir,643.0,,,,,,,,,,,,,,,,,,,,,
W07000082,Alyn and Deeside,57.0,75790,-11.9,39891,8794,Labour,Mark Tami,18395,Reform UK,Vicki Roskams,9601,Conservative,Jeremy Kent,7892,Liberal Democrat,Richard Marbrow,2065,Plaid Cymru,Jack Morris,1938,Green,Karl Macnaughton,1926.0,Independent,Edwin Duggan,1575.0,,,,,,,,,,,,,,,,,,
